model_id,conf_id,base_model,model_name,date_time,train_loss,val_loss,epochs,val_fold_idx,val_acc,test_acc,val_mae,test_mae
239,1,199,head_conf_id_1_model_1,04-12-2023_13:18:18,0.867484793066978,0.994279086589813,15,0,0.509345794392523,0.257022471910112,0.635514018691589,1.47331460674157
240,1,200,head_conf_id_1_model_2,04-12-2023_13:18:24,0.791753202676773,0.990449130535126,15,1,0.546728971962617,0.264044943820225,0.546728971962617,1.1502808988764
241,2,205,head_conf_id_2_model_1,04-12-2023_13:39:45,0.440651450306177,0.542088747024536,15,0,0.714953271028037,0.25,0.355140186915888,1
242,2,206,head_conf_id_2_model_2,04-12-2023_13:39:50,0.412174988538027,0.541740953922272,15,1,0.775700934579439,0.25,0.289719626168224,1
243,3,207,head_conf_id_3_model_1,04-12-2023_13:39:59,0.892717562615871,1.0828058719635,15,0,0.485981308411215,0.435393258426966,0.696261682242991,0.862359550561798
244,3,208,head_conf_id_3_model_2,04-12-2023_13:40:04,0.946005865931511,1.05163216590881,15,1,0.490654205607477,0.297752808988764,0.686915887850467,1.19943820224719
245,4,233,head_conf_id_4_model_1,04-12-2023_13:40:13,0.55641382932663,0.60996013879776,15,0,0.686915887850467,0.25,0.61214953271028,1
246,4,234,head_conf_id_4_model_2,04-12-2023_13:40:19,0.397802602499723,0.542062699794769,15,1,0.817757009345794,0.25,0.317757009345794,1
247,5,193,head_conf_id_5_model_1,04-12-2023_13:40:28,2.48506444692612,2.82065010070801,15,0,0.219626168224299,0.224719101123595,1.27102803738318,1.33426966292135
248,5,193,head_conf_id_5_model_2,04-12-2023_13:40:33,2.43962141871452,2.9000358581543,15,1,0.238317757009346,0.240168539325843,1.2803738317757,1.26123595505618
249,6,194,head_conf_id_6_model_1,04-12-2023_13:40:42,2.44980132579803,2.7373411655426,15,0,0.266355140186916,0.241573033707865,1.22897196261682,1.26825842696629
250,6,194,head_conf_id_6_model_2,04-12-2023_13:40:47,2.48048010468483,2.8169949054718,15,1,0.219626168224299,0.275280898876404,1.31775700934579,1.19101123595506
251,7,195,head_conf_id_7_model_1,04-12-2023_13:40:56,1.89025390148163,2.06594967842102,15,0,0.275700934579439,0.262640449438202,1.21028037383178,1.2247191011236
252,7,195,head_conf_id_7_model_2,04-12-2023_13:41:02,1.95808197557926,2.57060027122498,15,1,0.214953271028037,0.237359550561798,1.35981308411215,1.3314606741573
253,8,196,head_conf_id_8_model_1,04-12-2023_13:41:10,1.83067810535431,2.31724452972412,15,0,0.242990654205607,0.231741573033708,1.2803738317757,1.28370786516854
254,8,196,head_conf_id_8_model_2,04-12-2023_13:41:16,1.9603974968195,2.32629561424255,15,1,0.317757009345794,0.262640449438202,1.17289719626168,1.23876404494382
255,9,197,head_conf_id_9_model_1,04-12-2023_13:41:25,1.39049349725246,1.47765982151032,15,0,0.266355140186916,0.259831460674157,1.26168224299065,1.26123595505618
256,9,197,head_conf_id_9_model_2,04-12-2023_13:41:30,1.40044485032558,1.5495525598526,15,1,0.224299065420561,0.240168539325843,1.31775700934579,1.22050561797753
257,10,198,head_conf_id_10_model_1,04-12-2023_13:41:39,1.44265618920326,1.5489706993103,15,0,0.271028037383177,0.254213483146067,1.22897196261682,1.28089887640449
258,10,198,head_conf_id_10_model_2,04-12-2023_13:41:44,1.42756405472755,1.5751701593399,15,1,0.247663551401869,0.254213483146067,1.20560747663551,1.22612359550562
259,11,223,head_conf_id_11_model_1,04-12-2023_13:41:53,1.59959228336811,1.83057248592377,15,0,0.271028037383177,0.25,1.26635514018692,1.17134831460674
260,11,223,head_conf_id_11_model_2,04-12-2023_13:41:58,1.68285627663136,2.13016414642334,15,1,0.266355140186916,0.272471910112359,1.16355140186916,1.18398876404494
261,12,224,head_conf_id_12_model_1,04-12-2023_13:42:07,1.81008957326412,2.32421350479126,15,0,0.238317757009346,0.251404494382022,1.26168224299065,1.20084269662921
262,12,224,head_conf_id_12_model_2,04-12-2023_13:42:13,1.84516574442387,2.31772518157959,15,1,0.261682242990654,0.278089887640449,1.23364485981308,1.24297752808989
263,13,225,head_conf_id_13_model_1,04-12-2023_13:42:21,1.41399948298931,1.45923018455505,15,0,0.275700934579439,0.265449438202247,1.13084112149533,1.22331460674157
264,13,225,head_conf_id_13_model_2,04-12-2023_13:42:27,1.3698785007,1.4521244764328,15,1,0.285046728971963,0.280898876404494,1.14485981308411,1.14747191011236
265,14,226,head_conf_id_14_model_1,04-12-2023_13:42:35,1.41945840418339,1.56908237934113,15,0,0.257009345794392,0.285112359550562,1.29906542056075,1.20505617977528
266,14,226,head_conf_id_14_model_2,04-12-2023_13:42:41,1.37387762963772,1.48392724990845,15,1,0.247663551401869,0.286516853932584,1.28971962616822,1.19101123595506
267,15,227,head_conf_id_15_model_1,04-12-2023_13:42:49,1.31401555240154,1.4181706905365,15,0,0.308411214953271,0.287921348314607,1.11682242990654,1.19803370786517
268,15,227,head_conf_id_15_model_2,04-12-2023_13:42:55,1.34569390118122,1.45601356029511,15,1,0.289719626168224,0.237359550561798,1.15420560747664,1.21629213483146
269,16,228,head_conf_id_16_model_1,04-12-2023_13:43:03,1.32940022647381,1.41799414157867,15,0,0.280373831775701,0.195224719101124,1.24766355140187,1.25842696629213
270,16,228,head_conf_id_16_model_2,04-12-2023_13:43:09,1.36195525527,1.42974078655243,15,1,0.285046728971963,0.240168539325843,1.12616822429907,1.24438202247191
